,Date,Address,Block,Street,Latitude,Longitude,WnvPresent,DewPoint,WetBulb,PrecipTotal,SeaLevel,Tmax,StnPressure
0,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,41.95469,-87.800991,0,58,65,0.00,30.11,88,29.39
1,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,41.95469,-87.800991,0,59,66,0.00,30.09,88,29.44
4,2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",62, N MANDELL AVE,41.994991,-87.769279,0,58,65,0.00,30.11,88,29.39
5,2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",62, N MANDELL AVE,41.994991,-87.769279,0,59,66,0.00,30.09,88,29.44
6,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,41.974089,-87.824812,0,58,65,0.00,30.11,88,29.39
7,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,41.974089,-87.824812,0,59,66,0.00,30.09,88,29.44
10,2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,41.9216,-87.666455,0,58,65,0.00,30.11,88,29.39
11,2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,41.9216,-87.666455,0,59,66,0.00,30.09,88,29.44
12,2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",25, W GRAND AVE,41.891118,-87.654491,0,58,65,0.00,30.11,88,29.39
13,2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",25, W GRAND AVE,41.891118,-87.654491,0,59,66,0.00,30.09,88,29.44
14,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,41.867108,-87.654224,0,58,65,0.00,30.11,88,29.39
15,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,41.867108,-87.654224,0,59,66,0.00,30.09,88,29.44
18,2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",11, W CHICAGO,41.896282,-87.655232,0,58,65,0.00,30.11,88,29.39
19,2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",11, W CHICAGO,41.896282,-87.655232,0,59,66,0.00,30.09,88,29.44
20,2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,41.919343,-87.694259,0,58,65,0.00,30.11,88,29.39
21,2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,41.919343,-87.694259,0,59,66,0.00,30.09,88,29.44
22,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",22, N CANNON DR,41.921965,-87.632085,0,58,65,0.00,30.11,88,29.39
23,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",22, N CANNON DR,41.921965,-87.632085,0,59,66,0.00,30.09,88,29.44
26,2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,41.688324,-87.676709,0,58,65,0.00,30.11,88,29.39
27,2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,41.688324,-87.676709,0,59,66,0.00,30.09,88,29.44
30,2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",11, S PEORIA ST,41.862292,-87.64886,0,58,65,0.00,30.11,88,29.39
31,2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",11, S PEORIA ST,41.862292,-87.64886,0,59,66,0.00,30.09,88,29.44
32,2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",17, W 95TH ST,41.720848,-87.666014,0,58,65,0.00,30.11,88,29.39
33,2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",17, W 95TH ST,41.720848,-87.666014,0,59,66,0.00,30.09,88,29.44
34,2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,41.731922,-87.677512,0,58,65,0.00,30.11,88,29.39
35,2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,41.731922,-87.677512,0,59,66,0.00,30.09,88,29.44
38,2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",53, N STREETER DR,41.891126,-87.61156,0,58,65,0.00,30.11,88,29.39
39,2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",53, N STREETER DR,41.891126,-87.61156,0,59,66,0.00,30.09,88,29.44
42,2007-05-29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",65, N OAK PARK AVE,41.999129,-87.795585,0,58,65,0.00,30.11,88,29.39
43,2007-05-29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",65, N OAK PARK AVE,41.999129,-87.795585,0,59,66,0.00,30.09,88,29.44
44,2007-05-29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",75, N OAKLEY AVE,42.01743,-87.687769,0,58,65,0.00,30.11,88,29.39
45,2007-05-29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",75, N OAKLEY AVE,42.01743,-87.687769,0,59,66,0.00,30.09,88,29.44
46,2007-05-29,"1500 North Long Avenue, Chicago, IL 60651, USA",15, N LONG AVE,41.907645,-87.760886,0,58,65,0.00,30.11,88,29.39
47,2007-05-29,"1500 North Long Avenue, Chicago, IL 60651, USA",15, N LONG AVE,41.907645,-87.760886,0,59,66,0.00,30.09,88,29.44
48,2007-05-29,"8900 South Carpenter Street, Chicago, IL 60620, USA",89, S CARPENTER ST,41.732984,-87.649642,0,58,65,0.00,30.11,88,29.39
49,2007-05-29,"8900 South Carpenter Street, Chicago, IL 60620, USA",89, S CARPENTER ST,41.732984,-87.649642,0,59,66,0.00,30.09,88,29.44
50,2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,41.95469,-87.800991,0,48,51,0.42,29.79,64,29.10
51,2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,41.95469,-87.800991,0,47,52,0.27,29.78,63,29.16
56,2007-06-05,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,41.974089,-87.824812,0,48,51,0.42,29.79,64,29.10
57,2007-06-05,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,41.974089,-87.824812,0,47,52,0.27,29.78,63,29.16
60,2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,41.9216,-87.666455,0,48,51,0.42,29.79,64,29.10
61,2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,41.9216,-87.666455,0,47,52,0.27,29.78,63,29.16
66,2007-06-05,"2500 West Grand Avenue, Chicago, IL 60654, USA",25, W GRAND AVE,41.891118,-87.654491,0,48,51,0.42,29.79,64,29.10
67,2007-06-05,"2500 West Grand Avenue, Chicago, IL 60654, USA",25, W GRAND AVE,41.891118,-87.654491,0,47,52,0.27,29.78,63,29.16
68,2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,41.867108,-87.654224,0,48,51,0.42,29.79,64,29.10
69,2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,41.867108,-87.654224,0,47,52,0.27,29.78,63,29.16
74,2007-06-05,"1100 West Chicago Avenue, Chicago, IL 60642, USA",11, W CHICAGO,41.896282,-87.655232,0,48,51,0.42,29.79,64,29.10
75,2007-06-05,"1100 West Chicago Avenue, Chicago, IL 60642, USA",11, W CHICAGO,41.896282,-87.655232,0,47,52,0.27,29.78,63,29.16
76,2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,41.919343,-87.694259,0,48,51,0.42,29.79,64,29.10
77,2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,41.919343,-87.694259,0,47,52,0.27,29.78,63,29.16
80,2007-06-05,"2200 North Cannon Drive, Chicago, IL 60614, USA",22, N CANNON DR,41.921965,-87.632085,0,48,51,0.42,29.79,64,29.10
81,2007-06-05,"2200 North Cannon Drive, Chicago, IL 60614, USA",22, N CANNON DR,41.921965,-87.632085,0,47,52,0.27,29.78,63,29.16
82,2007-06-05,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,41.688324,-87.676709,0,48,51,0.42,29.79,64,29.10
83,2007-06-05,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,41.688324,-87.676709,0,47,52,0.27,29.78,63,29.16
84,2007-06-05,"1700 West 95th Street, Chicago, IL 60643, USA",17, W 95TH ST,41.720848,-87.666014,0,48,51,0.42,29.79,64,29.10
85,2007-06-05,"1700 West 95th Street, Chicago, IL 60643, USA",17, W 95TH ST,41.720848,-87.666014,0,47,52,0.27,29.78,63,29.16
86,2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,41.731922,-87.677512,0,48,51,0.42,29.79,64,29.10
87,2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,41.731922,-87.677512,0,47,52,0.27,29.78,63,29.16
92,2007-06-05,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",65, N OAK PARK AVE,41.999129,-87.795585,0,48,51,0.42,29.79,64,29.10
93,2007-06-05,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",65, N OAK PARK AVE,41.999129,-87.795585,0,47,52,0.27,29.78,63,29.16
96,2007-06-05,"1500 North Long Avenue, Chicago, IL 60651, USA",15, N LONG AVE,41.907645,-87.760886,0,48,51,0.42,29.79,64,29.10
97,2007-06-05,"1500 North Long Avenue, Chicago, IL 60651, USA",15, N LONG AVE,41.907645,-87.760886,0,47,52,0.27,29.78,63,29.16
98,2007-06-05,"8900 South Carpenter Street, Chicago, IL 60620, USA",89, S CARPENTER ST,41.732984,-87.649642,0,48,51,0.42,29.79,64,29.10
99,2007-06-05,"8900 South Carpenter Street, Chicago, IL 60620, USA",89, S CARPENTER ST,41.732984,-87.649642,0,47,52,0.27,29.78,63,29.16
100,2007-06-05,"9100 West Higgins Avenue, Chicago, IL 60656, USA",91, W HIGGINS AVE,41.981964,-87.812827,0,48,51,0.42,29.79,64,29.10
101,2007-06-05,"9100 West Higgins Avenue, Chicago, IL 60656, USA",91, W HIGGINS AVE,41.981964,-87.812827,0,47,52,0.27,29.78,63,29.16
102,2007-06-05,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",36, N PITTSBURGH AVE,41.944869,-87.832763,0,48,51,0.42,29.79,64,29.10
103,2007-06-05,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",36, N PITTSBURGH AVE,41.944869,-87.832763,0,47,52,0.27,29.78,63,29.16
